blind_id,image_path,human_phc_claims,mapper_id,mapping_date,notes
F0024,images/PHL1800_HL_0019.png,,,,
F0040,images/PHL1800_HL_0373.png,,,,
F0069,images/PHL1800_MM_0052.jpg,,,,
F0079,images/PHL1800_HAIV_0027.png,,,,
F0095,images/PHL1800_IRFL_0159.jpg,,,,
F0102,images/PHL1800_HL_0224.png,,,,
F0130,images/PHL1800_HL_0051.png,,,,
F0132,images/PHL1800_HAIV_0273.png,,,,
F0144,images/PHL1800_IRFL_0207.jpg,,,,
F0158,images/PHL1800_IRFL_0351.jpg,,,,
F0184,images/PHL1800_HL_0524.png,,,,
F0191,images/PHL1800_MM_0118.jpg,,,,
F0208,images/PHL1800_HAIV_0335.png,,,,
F0230,images/PHL1800_HL_0082.png,,,,
F0234,images/PHL1800_IRFL_0170.jpg,,,,
F0239,images/PHL1800_IRFL_0050.jpg,,,,
F0250,images/PHL1800_HL_0186.png,,,,
F0251,images/PHL1800_IRFL_0250.jpg,,,,
F0257,images/PHL1800_HL_0098.png,,,,
F0273,images/PHL1800_HL_0252.png,,,,
F0290,images/PHL1800_IRFL_0064.jpg,,,,
F0296,images/PHL1800_IRFL_0171.jpg,,,,
F0300,images/PHL1800_HL_0187.png,,,,
F0305,images/PHL1800_HL_0503.png,,,,
F0311,images/PHL1800_HAIV_0365.png,,,,
F0315,images/PHL1800_HAIV_0449.png,,,,
F0319,images/PHL1800_MM_0046.jpg,,,,
F0328,images/PHL1800_HL_0036.png,,,,
F0336,images/PHL1800_MM_0085.jpg,,,,
F0341,images/PHL1800_IRFL_0492.jpg,,,,
F0354,images/PHL1800_HAIV_0196.png,,,,
F0361,images/PHL1800_HAIV_0259.png,,,,
F0379,images/PHL1800_HAIV_0143.png,,,,
F0380,images/PHL1800_HL_0551.png,,,,
F0385,images/PHL1800_IRFL_0453.jpg,,,,
F0408,images/PHL1800_HAIV_0028.png,,,,
F0424,images/PHL1800_IRFL_0427.jpg,,,,
F0437,images/PHL1800_HAIV_0458.png,,,,
F0442,images/PHL1800_IRFL_0067.jpg,,,,
F0454,images/PHL1800_HL_0421.png,,,,
F0469,images/PHL1800_HAIV_0470.png,,,,
F0474,images/PHL1800_IRFL_0011.jpg,,,,
F0476,images/PHL1800_HL_0001.png,,,,
F0481,images/PHL1800_HL_0458.png,,,,
F0487,images/PHL1800_HAIV_0333.png,,,,
F0501,images/PHL1800_IRFL_0077.jpg,,,,
F0520,images/PHL1800_HL_0210.png,,,,
F0552,images/PHL1800_HL_0283.png,,,,
F0553,images/PHL1800_HL_0263.png,,,,
F0584,images/PHL1800_HAIV_0515.png,,,,
F0586,images/PHL1800_HAIV_0275.png,,,,
F0630,images/PHL1800_HL_0135.png,,,,
F0631,images/PHL1800_IRFL_0424.jpg,,,,
F0668,images/PHL1800_MM_0037.jpg,,,,
F0674,images/PHL1800_HL_0382.png,,,,
F0678,images/PHL1800_IRFL_0052.jpg,,,,
F0680,images/PHL1800_HL_0499.png,,,,
F0683,images/PHL1800_IRFL_0169.jpg,,,,
F0689,images/PHL1800_HAIV_0171.png,,,,
F0704,images/PHL1800_HAIV_0247.png,,,,
F0706,images/PHL1800_IRFL_0352.jpg,,,,
F0762,images/PHL1800_HL_0203.png,,,,
F0764,images/PHL1800_HL_0102.png,,,,
F0766,images/PHL1800_HAIV_0510.png,,,,
F0772,images/PHL1800_IRFL_0120.jpg,,,,
F0794,images/PHL1800_HAIV_0321.png,,,,
F0795,images/PHL1800_IRFL_0162.jpg,,,,
F0827,images/PHL1800_HAIV_0270.png,,,,
F0842,images/PHL1800_HAIV_0076.png,,,,
F0846,images/PHL1800_MM_0134.jpg,,,,
F0852,images/PHL1800_HL_0492.png,,,,
F0864,images/PHL1800_HL_0540.png,,,,
F0870,images/PHL1800_HL_0002.png,,,,
F0888,images/PHL1800_MM_0063.jpg,,,,
F0926,images/PHL1800_IRFL_0457.jpg,,,,
F0928,images/PHL1800_MM_0092.jpg,,,,
F0954,images/PHL1800_HL_0056.png,,,,
F0955,images/PHL1800_IRFL_0386.jpg,,,,
F0956,images/PHL1800_HL_0066.png,,,,
F0995,images/PHL1800_HL_0205.png,,,,
F1006,images/PHL1800_HL_0296.png,,,,
F1008,images/PHL1800_HL_0477.png,,,,
F1010,images/PHL1800_HAIV_0392.png,,,,
F1013,images/PHL1800_HL_0593.png,,,,
F1014,images/PHL1800_IRFL_0374.jpg,,,,
F1030,images/PHL1800_HAIV_0429.png,,,,
F1035,images/PHL1800_IRFL_0482.jpg,,,,
F1036,images/PHL1800_HL_0179.png,,,,
F1039,images/PHL1800_IRFL_0033.jpg,,,,
F1040,images/PHL1800_IRFL_0395.jpg,,,,
F1047,images/PHL1800_IRFL_0257.jpg,,,,
F1050,images/PHL1800_HL_0518.png,,,,
F1064,images/PHL1800_IRFL_0500.jpg,,,,
